Average,Err.Est.,RMSD,Tot-Drift,RMSD
-321574,38,"994.944","-218.685","0.99"
-321661,68,"998.616","-444.796","2.03"
-321698,32,"988.904","-191.461","2.95"
-321500,52,"991.857","186.891","1.33"
-321693,51,"994.556","-219.288","1.6"
-321696,61,"1010.65","-241.76","0.97"
-321546,36,993.026,"-780.828","2.53"
-321628,48,988.094,"-199.633","1.71"
-321679,64,996.756,"-402.191","1.9"
-321537,27,999.404,"-46.5298","1.61"
-321676,61,997.005,"-359.123","2.19"
-321670,34,987.469,"-124.349","1.04"
-321744,44,"1008.41","-134.019","0.9"
-321663,53,"997.821","-301.755","2.11"
-321613,59,"997.143","-386.749","1.66"
-321640,73,"1003.7","-422.323","1.87"
-321570,31,"986.685","-113.663","1.72"
-321572,32,"985.282","-209.807","1.97"
-321691,56,"989.901","-334.708","2.59"
-321588,17,"990.973","-13.0658","1.32"
